top # of balance,,spam_score,adr,balance@0516,note,
13606,spam_score:,160,GDW46TTG6RPBO4H6KIYJ3KPT32R4CPWT6D4AF4FT6ZOMWQQQ2ADJC2ML,2 ,,
488,spam_score:,158,GA24CGSW24Z7HPXQWU4MT7NJCJOVQ7SXN3JXDHSR7MRHQJI77HH7TJL4,"19,730 ",,
1321,spam_score:,158,GC74226ATIGHNSQTEKTXVMFPHBHNFBN52RPFJ5M7XGHU2QEVCDEA2Y2V,"8,614 ",,
13423,spam_score:,156,GDEBEBRDJX3KZMQNNJ5CJMTVHZOKIY3DJRAYXZGNSWEUHOE63THEHXIV,2 ,,
14648,spam_score:,156,GBEFM4GGNV7JNQSYIRNWCUL2PEHCGDJTK37DJPFR3SBFYOKBIQVO344M,1 ,,
198,spam_score:,154,GCQSH5WHZR47AI73E2BS255W4V2VZV6DYQ7KWX7LCORSLLRJGDBNN573,"35,137 ",,
10061,spam_score:,150,GAC4VRSRXUT2ENW2I6O5RHQUU3SUGGL7XUN7KVTMMVM5DMECCC5RIXSQ,398 ,,
11127,spam_score:,148,GBZZLX2YAX2LCWVTGV4Q5HWXZC5FF7S56455CR4GFYPHHMZQMES3BZGT,58 ,,
12525,spam_score:,148,GCAOJC3XW6WDAQFU5VDJ5MVCJLV2IXUREAKOQHXHLMSPQM3GXP27PAX6,3 ,,
13923,spam_score:,148,GCABDMUGYOFRD4LOU5MXVPLYJKCKG3GUXG2JGPZYNQEU6QB3PENZIF4Z,1 ,,
12713,spam_score:,147,GAKVJEZ7H7BYFSKK2ZRT5O2IBRQDA3UX53CDH6CFBVQKD4VMBXCIV4QC,3 ,,
2436,spam_score:,143,GCU7PZQWJLVIG532ZLYA5TZZLRQZV7BXEC4M3AYTQILL2EEJZ2XOSPRP,"5,001 ",,
12987,spam_score:,142,GCFOFVYB5AQTX46FYFRXJGM666QFSF3GEG2Z3O6BYCP7EMM544VAQNO6,2 ,,
409,spam_score:,141,GDD6PB5OFB3RCUDO6YYGTHI27K4ALVJGOFYTWHS3IZHNUVFF24VJEMZE,"21,474 ",,
10614,spam_score:,141,GBBA3NBN2SGXJ4JD5DHGTYTCTAHQL5MRL4OW4CUEOCXNMPDI46MNJAIT,159 ,,
14156,spam_score:,141,GAXZV4HNNM2HKXBXCELMWHEW5SVPPBITEXJDGAYDFJSIQWAOOAAVIXXA,1 ,,
10580,spam_score:,140,GD7P57W7URYIOPL67VBVAV2KFAVOJZ4LJO3DNOIWW2JG6GHAWF2D2U6C,168 ,,
3255,spam_score:,135,GCFGWIEPTK7LCEGXRU5WNWPFJDLY4AQQ5GRH4O7GWJETAI5ICKENVGGH,"3,763 ",,
13474,spam_score:,129,GAPKJ7UEYIFP3BOPFKKG2ZXHCRXU32YXQ5AEAM5TIXAKY3MRHVNGGKDO,2 ,,
10928,spam_score:,125,GBIR4QRFKP2G2IAVXYYN3BLQQWSREEEK5ST6V5TSV6XHNF5XLKJYUMW7,87 ,,
192,spam_score:,122,GDAVGX2LTI7NO4WMDBE2O5X25ZWBCBHC55FL2CDY35OEFS6DOPMQXZY6,"36,002 ",,
2862,spam_score:,122,GCUZ4HTR7TXJBL7VG4DUDMAHPDMXSJVR3VCLKRSMN3OOKPKPLLNWEE7V,"4,272 ",,
14146,spam_score:,122,GCVMO22LVOQ22EEVBBNKUUIMGVLODPUDPFSBQRB7FPKVTXSG6IRL5TLT,1 ,,
10675,spam_score:,121,GBEVZCWCMLU5QZVXUZOQEJJE3YYEF3HEM46OWKMBAGZ5NE4THTH6HUAY,139 ,,
3399,spam_score:,117,GDWO5GM4AVBS6K3IMMG3E7MHOG2S6RUYGH6GARCIHS6ZAUDPPB5BRMZQ,"3,554 ",,
9413,spam_score:,117,GATMK3P6NKXLPDFSWAFQVDLX6NLTZ54A53EJ3OFFEIRNP32RUS5A3TKV,556 ,,
